Payoff,Index
42.10115688398382,999
35.99777574019146,999
63.61784750350584,999
87.52058743065331,911
46.034601230007745,999
63.01276920788543,999
87.52058743065331,893
83.30268863561771,408
38.43025605740239,999
46.52933191617202,999
87.52058743065331,687
87.52058743065331,629
57.540378265510654,999
87.52058743065331,520
80.35714298111556,428
83.30268863561771,657
87.52058743065331,889
83.30268863561771,524
81.64942101476885,426
81.64942101476885,387
44.22462816055702,999
80.35714298111556,391
83.30268863561771,396
83.30268863561771,471
50.24222471072236,999
61.333843975868874,999
87.52058743065331,695
87.52058743065331,464
87.52058743065331,924
81.64942101476885,448
53.01947769788607,999
67.37425507234114,999
57.866198535183536,999
87.52058743065331,661
63.04439424758577,999
34.519827976566276,999
28.28993215994125,999
83.30268863561771,388
81.64942101476885,404
60.0128393951411,999
81.64942101476885,466
74.27220571151791,389
40.06217825448096,999
87.52058743065331,458
87.52058743065331,534
55.70314890015316,999
87.52058743065331,534
56.95151475461928,999
87.52058743065331,735
87.52058743065331,375
87.52058743065331,419
87.52058743065331,635
81.64942101476885,383
87.52058743065331,381
87.52058743065331,383
87.52058743065331,448
83.30268863561771,496
47.256840390548994,999
47.74680810752845,999
38.1382683318946,999
39.01125400097842,999
87.52058743065331,610
87.52058743065331,398
83.30268863561771,578
49.6160269408891,999
67.42764333284221,999
45.36026720939893,999
81.64942101476885,381
68.76924528780103,999
87.52058743065331,812
87.52058743065331,556
87.52058743065331,644
56.88883864266003,999
35.02721280883248,999
63.492609627534854,999
69.03152886662501,999
83.30268863561771,880
83.30268863561771,386
83.30268863561771,556
87.52058743065331,818
87.52058743065331,737
87.52058743065331,793
38.43025605740239,999
87.52058743065331,965
51.591782538180055,999
87.52058743065331,672
87.52058743065331,947
42.616783976551794,999
83.30268863561771,469
87.52058743065331,619
81.64942101476885,394
87.52058743065331,714
87.52058743065331,587
87.52058743065331,493
87.52058743065331,993
47.256840390548994,999
48.16789090178471,999
87.52058743065331,817
81.64942101476885,473
87.52058743065331,792
83.30268863561771,634
49.80815880463856,999
87.52058743065331,566
56.16409469817358,999
83.30268863561771,392
87.52058743065331,581
81.64942101476885,534
53.07591552558511,999
83.30268863561771,574
81.64942101476885,434
87.52058743065331,566
52.122572799824,999
81.64942101476885,525
46.815169764412865,999
70.51010803122676,999
48.31836895600035,999
87.52058743065331,921
80.35714298111556,414
83.30268863561771,505
45.92588181109992,999
80.35714298111556,580
63.73493886268655,999
87.52058743065331,413
87.52058743065331,492
87.52058743065331,682
87.52058743065331,469
59.92993670355711,999
47.725423407185815,999
52.46494039900443,999
83.30268863561771,600
42.59263179859229,999
51.15118972607233,999
87.52058743065331,565
55.281465458516884,999
87.52058743065331,390
43.987570401935756,999
83.30268863561771,423
81.64942101476885,481
87.52058743065331,920
43.633252325565365,999
73.40808887791223,523
80.35714298111556,385
48.33003091218721,999
44.1235462575296,999
48.53521765459451,999
83.30268863561771,668
56.74637350258546,999
46.73854744386538,999
87.52058743065331,811
48.038950410974245,999
46.49201091185265,999
87.52058743065331,619
57.23631986368097,999
51.204072880931705,999
74.27220571151791,572
81.64942101476885,437
83.30268863561771,517
83.30268863561771,434
87.52058743065331,520
80.35714298111556,381
87.52058743065331,466
43.02439811836219,999
87.52058743065331,759
73.745786530316,596
53.555636436097856,999
87.52058743065331,660
87.52058743065331,883
57.10964204570039,999
87.52058743065331,373
57.40559804907838,999
73.40808887791223,433
87.52058743065331,383
87.52058743065331,635
81.64942101476885,601
57.1238551807872,999
87.52058743065331,393
74.27220571151791,640
87.52058743065331,790
39.05664080223923,999
36.5155293018662,999
40.598800094561945,999
87.52058743065331,537
87.52058743065331,391
47.975835587893194,999
58.69607220003385,999
83.30268863561771,463
83.30268863561771,472
87.52058743065331,567
44.74680240329337,999
87.52058743065331,562
87.52058743065331,491
83.30268863561771,415
51.81967258568661,999
41.316395870342305,999
42.071464001886305,999
83.30268863561771,534
83.30268863561771,473
87.52058743065331,649
80.35714298111556,713
55.758031475475505,999
44.085527975770695,999
83.30268863561771,393
87.52058743065331,681
87.52058743065331,508
81.64942101476885,631
87.52058743065331,379
83.30268863561771,712
51.88057169001286,999
83.30268863561771,490
39.16663446247726,999
87.52058743065331,489
39.422188748567116,999
29.03665393776846,999
87.52058743065331,950
87.52058743065331,576
81.64942101476885,514
71.26548136950436,999
55.758031475475505,999
42.315740770871436,999
81.64942101476885,526
87.52058743065331,606
62.40222694801757,999
87.52058743065331,434
87.52058743065331,619
87.52058743065331,751
87.52058743065331,432
87.52058743065331,645
87.52058743065331,613
55.67163257367058,999
83.30268863561771,836
40.430384320033994,999
39.669447968792674,999
49.30243561854838,999
73.745786530316,414
49.07456749281341,999
49.64948488311844,999
81.64942101476885,515
83.30268863561771,449
83.30268863561771,516
87.52058743065331,831
55.50272495755784,999
52.122572799824,999
54.18548631088488,999
51.119670375830296,999
87.52058743065331,478
80.35714298111556,523
87.52058743065331,547
87.52058743065331,445
50.10390211327114,999
69.31989742976572,999
83.30268863561771,688
87.52058743065331,464
73.35754222480548,402
44.49518020363592,999
87.52058743065331,406
87.52058743065331,719
87.52058743065331,462
87.52058743065331,488
87.52058743065331,682
81.64942101476885,647
87.52058743065331,370
83.30268863561771,605
80.35714298111556,408
38.29228204635743,999
87.52058743065331,766
87.52058743065331,432
87.52058743065331,861
74.27220571151791,429
87.52058743065331,951
87.52058743065331,440
83.30268863561771,411
71.47024492807562,999
87.52058743065331,949
87.52058743065331,609
83.30268863561771,437
45.215073266636956,999
81.64942101476885,386
73.40808887791223,437
61.333843975868874,999
87.52058743065331,594
48.99802451170167,999
48.907995929953266,999
87.52058743065331,478
83.30268863561771,704
87.52058743065331,828
57.40559804907838,999
87.52058743065331,525
63.42933001549973,999
54.18976050928464,999
87.52058743065331,620
31.48622925359569,999
83.30268863561771,466
43.163114544122564,999
69.40733059659233,999
87.52058743065331,941
87.52058743065331,417
57.10964204570039,999
83.30268863561771,596
87.52058743065331,660
54.49878332101211,999
68.4467868776619,999
83.30268863561771,495
87.52058743065331,574
55.91354013815916,999
81.64942101476885,585
83.30268863561771,506
87.52058743065331,495
87.52058743065331,937
51.80760404333287,999
81.64942101476885,673
83.30268863561771,574
83.30268863561771,502
87.52058743065331,577
50.097835651233396,999
81.64942101476885,634
57.50915536634359,999
49.676586274738504,999
87.52058743065331,414
74.27220571151791,484
83.30268863561771,512
87.52058743065331,993
87.52058743065331,551
49.80815880463856,999
83.30268863561771,413
54.914842343848605,999
44.27216056632166,999
83.30268863561771,528
48.08303231004689,999
87.52058743065331,417
87.52058743065331,689
64.5042065752013,999
80.35714298111556,479
87.52058743065331,510
87.52058743065331,393
59.57234863449351,999
81.64942101476885,822
87.52058743065331,463
41.40222759573413,999
59.35784782054465,999
81.64942101476885,425
81.64942101476885,402
50.031808227579894,999
81.64942101476885,399
87.52058743065331,524
87.52058743065331,578
87.52058743065331,541
87.52058743065331,695
87.52058743065331,811
80.35714298111556,397
83.30268863561771,417
43.46265510595472,999
53.50644067039895,999
44.39664725903685,999
38.41680256386415,999
52.925357047242684,999
83.30268863561771,443
87.52058743065331,410
52.4370304097215,999
